model,dataset,experiment_axis,scale_group,metric,mean,std,min,max,relative_std,n_runs
lightgbm,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,accuracy,0.8245,0.0,0.8245,0.8245,0.0,2
lightgbm,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,balanced_accuracy,0.6661019523885471,0.0,0.6661019523885471,0.6661019523885471,0.0,2
lightgbm,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,macro_f1,0.6922778844674413,0.0,0.6922778844674413,0.6922778844674413,0.0,2
lightgbm,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,mean_confidence,0.8273665187672101,0.0,0.8273665187672101,0.8273665187672101,0.0,2
lightgbm,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,correct_mean_confidence,0.8440361100163896,0.0,0.8440361100163896,0.8440361100163896,0.0,2
lightgbm,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,wrong_mean_confidence,0.7490526840951384,0.0,0.7490526840951384,0.7490526840951384,0.0,2
lightgbm,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,confidence_gap,0.0949834259212512,0.0,0.0949834259212512,0.0949834259212512,0.0,2
lightgbm,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,fit_time_seconds,0.25346699998317485,0.015071415379526575,0.2428098999662324,0.2641241000001173,0.05946105560300558,2
lightgbm,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,predict_time_seconds,0.0307869500120432,0.0001515329665952274,0.0306798000237904,0.030894100000296,0.004921986963175986,2
lightgbm,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,wall_time_seconds,0.6076597000110269,0.2660059343460232,0.4195650999990903,0.7957543000229634,0.43775477350430864,2
lightgbm,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,seconds_per_test_sample,5.131158335340539e-06,2.5255494432534587e-08,5.1133000039650745e-06,5.149016666716003e-06,0.004921986963175335,2
lightgbm,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,peak_memory_mb,179.119140625,20.536480148913988,164.59765625,193.640625,0.11465262772731097,2
lightgbm,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,training_throughput,2181655.0418861643,129723.51175217025,2089926.667046872,2273383.4167254567,0.05946105560300538,2
lightgbm,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,accuracy,0.8130454754248967,0.0,0.8130454754248967,0.8130454754248967,0.0,2
lightgbm,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,balanced_accuracy,0.5915686428343406,0.0,0.5915686428343406,0.5915686428343406,0.0,2
lightgbm,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,macro_f1,0.6071743825128472,0.0,0.6071743825128472,0.6071743825128472,0.0,2
lightgbm,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,mean_confidence,0.8345258062793538,0.0,0.8345258062793538,0.8345258062793538,0.0,2
lightgbm,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,correct_mean_confidence,0.8508585327884401,0.0,0.8508585327884401,0.8508585327884401,0.0,2
lightgbm,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,wrong_mean_confidence,0.7634965042619514,0.0,0.7634965042619514,0.7634965042619514,0.0,2
lightgbm,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,confidence_gap,0.0873620285264887,0.0,0.0873620285264887,0.0873620285264887,0.0,2
lightgbm,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,fit_time_seconds,0.34361530000387575,0.2346702144690116,0.1776784000103362,0.5095521999974153,0.682944602485293,2
lightgbm,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,predict_time_seconds,0.0186955000172019,0.015730156006436853,0.0075726000359281,0.0298183999984757,0.8413872852805966,2
lightgbm,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,wall_time_seconds,0.5162186000161455,0.17157762195309467,0.3948949000332504,0.6375422999990406,0.3323739631770888,2
lightgbm,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,seconds_per_test_sample,8.587735423611389e-06,7.225611394780367e-06,3.4784566081434035e-06,1.3697014239079374e-05,0.8413872852805927,2
lightgbm,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,peak_memory_mb,165.189453125,16.91255789533293,153.23046875,177.1484375,0.1023827948781638,2
lightgbm,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,training_throughput,694043.82177612,473993.48197026574,358879.8164367215,1029207.8271155184,0.6829446024852929,2
lightgbm,kc1_2109rows_21feat_binclass,sample_scale,A_1000_3000,accuracy,0.8720379146919431,0.0,0.8720379146919431,0.8720379146919431,0.0,2
lightgbm,kc1_2109rows_21feat_binclass,sample_scale,A_1000_3000,balanced_accuracy,0.7041585865115276,0.0,0.7041585865115276,0.7041585865115276,0.0,2
lightgbm,kc1_2109rows_21feat_binclass,sample_scale,A_1000_3000,macro_f1,0.726171593366979,0.0,0.726171593366979,0.726171593366979,0.0,2
lightgbm,kc1_2109rows_21feat_binclass,sample_scale,A_1000_3000,mean_confidence,0.934570844121368,0.0,0.934570844121368,0.934570844121368,0.0,2
lightgbm,kc1_2109rows_21feat_binclass,sample_scale,A_1000_3000,correct_mean_confidence,0.9474501545665972,0.0,0.9474501545665972,0.9474501545665972,0.0,2
