dataset,model,true_label,predicted_label,mean_count,std_count,min_count,max_count,run_count
mfeat-factors_2000rows_216feat_multiclass,lightgbm,6,4,3.0,0.0,3.0,3.0,7
mfeat-factors_2000rows_216feat_multiclass,lightgbm,1,9,2.0,0.0,2.0,2.0,7
mfeat-factors_2000rows_216feat_multiclass,lightgbm,7,6,2.0,0.0,2.0,2.0,7
mfeat-factors_2000rows_216feat_multiclass,lightgbm,4,3,1.0,0.0,1.0,1.0,7
mfeat-factors_2000rows_216feat_multiclass,lightgbm,5,10,1.0,0.0,1.0,1.0,7
mfeat-factors_2000rows_216feat_multiclass,tabicl,1,9,1.0,0.0,1.0,1.0,5
mfeat-factors_2000rows_216feat_multiclass,tabicl,4,3,1.0,0.0,1.0,1.0,5
mfeat-factors_2000rows_216feat_multiclass,tabicl,5,6,1.0,0.0,1.0,1.0,5
mfeat-factors_2000rows_216feat_multiclass,tabicl,6,2,1.0,0.0,1.0,1.0,5
mfeat-factors_2000rows_216feat_multiclass,tabicl,6,4,1.0,0.0,1.0,1.0,5
mfeat-factors_2000rows_216feat_multiclass,tabpfn,1,9,2.0,0.0,2.0,2.0,5
mfeat-factors_2000rows_216feat_multiclass,tabpfn,6,4,2.0,0.0,2.0,2.0,5
mfeat-factors_2000rows_216feat_multiclass,tabpfn,4,3,1.0,0.0,1.0,1.0,5
mfeat-factors_2000rows_216feat_multiclass,tabpfn,5,2,1.0,0.0,1.0,1.0,5
mfeat-factors_2000rows_216feat_multiclass,tabpfn,6,2,1.0,0.0,1.0,1.0,5
mfeat-factors_2000rows_216feat_multiclass,xgboost,1,9,2.0,0.0,2.0,2.0,7
mfeat-factors_2000rows_216feat_multiclass,xgboost,6,4,2.0,0.0,2.0,2.0,7
mfeat-factors_2000rows_216feat_multiclass,xgboost,8,10,2.0,0.0,2.0,2.0,7
mfeat-factors_2000rows_216feat_multiclass,xgboost,10,4,1.0,0.0,1.0,1.0,7
mfeat-factors_2000rows_216feat_multiclass,xgboost,2,8,1.0,0.0,1.0,1.0,7
mfeat-fourier_2000rows_76feat_multiclass,lightgbm,10,7,17.0,0.0,17.0,17.0,7
mfeat-fourier_2000rows_76feat_multiclass,lightgbm,7,10,13.0,0.0,13.0,13.0,7
mfeat-fourier_2000rows_76feat_multiclass,lightgbm,2,8,3.0,0.0,3.0,3.0,7
mfeat-fourier_2000rows_76feat_multiclass,lightgbm,8,2,3.0,0.0,3.0,3.0,7
mfeat-fourier_2000rows_76feat_multiclass,lightgbm,2,4,2.0,0.0,2.0,2.0,7
mfeat-fourier_2000rows_76feat_multiclass,tabicl,10,7,10.0,0.0,10.0,10.0,5
mfeat-fourier_2000rows_76feat_multiclass,tabicl,7,10,8.0,0.0,8.0,8.0,5
mfeat-fourier_2000rows_76feat_multiclass,tabicl,8,2,3.0,0.0,3.0,3.0,5
mfeat-fourier_2000rows_76feat_multiclass,tabicl,2,6,2.0,0.0,2.0,2.0,5
mfeat-fourier_2000rows_76feat_multiclass,tabicl,5,2,2.0,0.0,2.0,2.0,5
mfeat-fourier_2000rows_76feat_multiclass,tabpfn,10,7,10.0,0.0,10.0,10.0,5
mfeat-fourier_2000rows_76feat_multiclass,tabpfn,7,10,8.0,0.0,8.0,8.0,5
mfeat-fourier_2000rows_76feat_multiclass,tabpfn,8,5,4.0,0.0,4.0,4.0,5
